,Article Title,Article Date
4,Moody's cuts Oman's rating by a notch to 'Ba2',Mar 05 2020
5,Goldman Sachs unit in talks to buy stake in Permira - WSJ,Mar 05 2020
6,"Brazil FX market is nervous, recent moves have been large -economy minister Guedes",Mar 05 2020
7,UPDATE 1-Brazil steelmaker CSN revives plan for mining unit IPO,Mar 05 2020
8,"Coronavirus forces Blackstone, Apax to delay or webcast investor meetings",Mar 05 2020
9,UPDATE 1-Pound hits 1-week high vs. dollar amid waning expectations for emergency rate cut,Mar 05 2020
0,UPDATE 2-European shares back in red as virus fears persist; Miners lead losses,Mar 05 2020
1,UPDATE 7-British airline Flybe collapses as coronavirus deals final blow,Mar 05 2020
2,GLOBAL MARKETS-Stocks tumble as coronavirus cases rise outside China,Mar 05 2020
3,METALS-Stimulus expectations strengthen most industrial metals,Mar 05 2020
4,CORRECTED-U.S. SEC proposes letting firms raise more via crowdfunding before needing to register,Mar 05 2020
5,UPDATE 3-German bond yields hit six-month lows as safe-haven bid escalates,Mar 05 2020
6,Brazil meatpacker JBS plans U.S. listing as BNDES sells stake -sources,Mar 05 2020
7,US STOCKS-Wall Street tumbles as virus fears hit California,Mar 05 2020
8,"EU eyes mobilisation of retired medical workers, students to fight coronavirus",Mar 05 2020
9,FOREX-U.S. dollar dips as traders brace for more Fed rate cuts,Mar 05 2020
0,"UPDATE 1-Unshackled by EU, countries have fiscal freedom to fight coronavirus",Mar 05 2020
1,TREASURIES-U.S. Treasuries rally as coronavirus impacts spread,Mar 05 2020
2,"After historic rally, bonds may still have room to run",Mar 05 2020
3,UPDATE 1-Russia can cope with oil price drop if no OPEC cut agreed -Finance Minister,Mar 05 2020
4,Italy's statistics bureau calls off press briefings due to coronavirus,Mar 05 2020
5,"Low rates, warming housing market - is it deja vu for Bank of Canada's Stephen Poloz?",Mar 05 2020
6,CANADA FX DEBT-Canadian dollar falls ahead of Poloz speech as virus worries climb,Mar 05 2020
7,'Business is finished': Iranian merchants fear the worst as virus spreads,Mar 05 2020
8,WRAPUP 2-U.S. weekly jobless claims fall; labor market weathering coronavirus for now,Mar 05 2020
9,UPDATE 2-HP rejects Xerox's raised takeover offer of $35 billion,Mar 05 2020
0,CANADA STOCKS-TSX slips on fears of coronavirus spreading; gold miners benefit,Mar 05 2020
1,"UK-EU negotiations will be tough, significant differences remain -UK govt spokesman",Mar 05 2020
2,US STOCKS-Wall St tumbles as virus fears hit California,Mar 05 2020
3,James Murdoch makes investments to tackle fake news- FT,Mar 05 2020
4,US STOCKS SNAPSHOT-Wall St sinks at open as coronavirus fears prompt California emergency,Mar 05 2020
5,CANADA STOCKS-TSX opens lower on coronavirus fears,Mar 05 2020
6,Brazil's central bank is in sole charge of FX policy - Treasury Secretary Almeida,Mar 05 2020
7,Irish central bank fines RBS' Ulster Bank 4.6 million euros,Mar 05 2020
8,EMERGING MARKETS-Latam FX weakens as surging coronavirus cases sap risk appetite,Mar 05 2020
9,Baltic index logs best day in 8 months on strong demand across vessels,Mar 05 2020
0,Hedge fund Brevan Howard made gains across firm in February -source,Mar 05 2020
1,"UPDATE 1-Brazil's low growth 'not normal,' keeps Treasury secretary from sleeping soundly",Mar 05 2020
2,NY Fed accepts all $87.357 bln in overnight repo bids-NY Fed website,Mar 05 2020
3,Sweeping reshuffle knocks Ukraine dollar bonds to multi-month lows,Mar 05 2020
4,"EU grants governments fiscal leeway to fight coronavirus impact, eyes more",Mar 05 2020
5,Lebanese government to decide on Eurobonds on Saturday,Mar 05 2020
6,"UPDATE 1-IIF lowers 2020 global, U.S. and China growth forecasts",Mar 05 2020
7,NY Fed accepts $20 bln in 14-day repo operation -NY Fed website,Mar 05 2020
8,US STOCKS-Futures plunge on virus fears as California declares emergency,Mar 05 2020
9,PRECIOUS-Gold rises 1% as coronavirus fears drive investors to safe haven,Mar 05 2020
0,"Brazil's low growth is ""not normal"", keeps treasury secretary up at night",Mar 05 2020
1,'Now we have corona': Cash-strapped Lebanon navigates new crisis,Mar 05 2020
2,"Israeli AI chipmaker Hailo raises $60 mln, total funding $88 mln",Mar 05 2020
3,"GLOBAL MARKETS-Europe stocks, U.S. futures sink as coronavirus quashes rebound",Mar 05 2020
4,Lebanon cabinet approves draft law to lift banking secrecy - justice minister,Mar 05 2020
5,PRESS DIGEST- Canada- March 5,Mar 05 2020
6,Lebanon's financial prosecutor freezes assets of 20 banks -NNA,Mar 05 2020
7,UPDATE 1-BOJ may take steps to ease financial strain of virus-hit firms - sources,Mar 05 2020
8,"CEE MARKETS-Currencies stable, investors eye global cues in wait-and-watch mode",Mar 05 2020
9,BOJ may take steps to ease financial strain of virus-hit firms - sources,Mar 05 2020
0,FOREX-U.S. dollar struggles as traders price in more Fed cuts,Mar 05 2020
1,"Greek December unemployment drops to 16.3%, lowest since March 2011",Mar 05 2020
2,"CORRECTED-(OFFICIAL)-TABLE-Holdings of SPDR Gold rise, iShares Silver drop (March 4)",Mar 05 2020
3,"UPDATE 1-World food prices dip in February, hurt by coronavirus -U.N.",Mar 05 2020
4,CORRECTED-European shares up for fourth day as central banks weigh in,Mar 05 2020
5,"GLOBAL MARKETS-Coronavirus douses stocks rally; Europe, U.S. futures lower",Mar 05 2020
6,FOREX-U.S. dollar struggles to make headway as traders price in more Fed cuts,Mar 05 2020
7,Coronavirus crisis intensifies for airlines as UK's Flybe collapses,Mar 05 2020
8,UPDATE 1-Swiss report first coronavirus death,Mar 05 2020
9,Sterling gains as emergency rate cut expectations wane,Mar 05 2020
0,CORRECTED-British fund industry warns companies on climate risk,Mar 05 2020
1,Poland's labour ministry sees Feb unemployment at 5.5%,Mar 05 2020
2,Swiss report first coronavirus death,Mar 05 2020
3,"World food prices dip in February, cereal outlook up -U.N.",Mar 05 2020
4,GRAPHIC-China's jobseekers cast uneasy eye on opportunities in virus-hit economy,Mar 05 2020
5,MORNING BID-An emergency,Mar 05 2020
6,S.Korea reports 322 additional cases of coronavirus,Mar 05 2020
7,Euro zone bond yields edge higher as risk sentiment improves,Mar 05 2020
8,Greece plans to deport migrants who arrived after March 1,Mar 05 2020
9,UBS hardens energy lending as 'sustainable' investments rise,Mar 05 2020
0,"METALS-Industrial metals advance on stronger equities, stimulus hopes",Mar 05 2020
1,"UPDATE 1-Merck KGaA forecasts strong profit growth on healthcare, lab gear",Mar 05 2020
2,PRESS DIGEST - Wall Street Journal - March 5,Mar 05 2020
3,"Japan stocks rise by most in one month, caution about virus remains",Mar 05 2020
4,"Merck KGaA forecasts strong profit growth on healthcare, lab gear",Mar 05 2020
5,JGB futures trim losses after 30-year bonds see strong demand,Mar 05 2020
6,"FOREX-Tumbling bond yields, coronavirus halt dollar advance",Mar 05 2020
7,UPDATE 13-California declares emergency over coronavirus as death toll rises in U.S.,Mar 04 2020
8,U.S. opposes releasing a dying Bernard Madoff from prison early,Mar 04 2020
9,"GLOBAL MARKETS-Asian shares grind higher, virus risks block the way",Mar 04 2020
0,"Morning News Call - India, March 5",Mar 04 2020
1,"Japan stocks track Wall Street higher, but virus worries weigh",Mar 04 2020
2,Australia bans travellers from South Korea in bid to slow coronavirus,Mar 04 2020
3,Oil rises more than 1% on smaller-than-expected rise in crude stocks,Mar 04 2020
4,PRESS DIGEST- British Business - March 5,Mar 04 2020
5,FOREX-Dollar regains footing as Fed cut shakeout fades,Mar 04 2020
6,PRESS DIGEST- Financial Times - March 5,Mar 04 2020
7,"GLOBAL MARKETS-Asia shares follow Wall St higher, but virus risk lurks",Mar 04 2020
8,"UPDATE 3-RBC to cut Canada prime rate to 3.45%, rivals follow",Mar 04 2020
9,Revolut hires former Goldman Sachs banker Michael Sherwood,Mar 04 2020
0,UPDATE 2-Ex-Uber self-driving head declares bankruptcy after $179 mln loss to Google,Mar 04 2020
1,UPDATE 1-Brazilian credit bureau Boa Vista SCPC files for IPO,Mar 04 2020
2,UPDATE 3-IMF chief says coronavirus erases hopes for stronger growth in 2020,Mar 04 2020
3,Carlyle curbs staff travel in response to coronavirus spread -sources,Mar 04 2020
4,RPT-India pushes state banks to boost lending as coronavirus fears grow - sources,Mar 04 2020
5,UPDATE 1-Fed's Bullard: Not much more data coming to warrant rate cut at March meeting,Mar 04 2020
6,Brazilian credit bureau Boa Vista SCPC files for IPO,Mar 04 2020
7,"New York-area banks, insurers and funds step up coronavirus preparation",Mar 04 2020
8,Fed's Bullard: Not much more data coming to warrant rate cut at March meeting,Mar 04 2020
9,Investors push for Libor floors as benchmark falls amid virus fears,Mar 04 2020
0,GLOBAL MARKETS-Stocks rally as Biden surge offsets coronavirus fears,Mar 04 2020
1,RBC first to cut Canada prime rate to 3.45%,Mar 04 2020
2,UPDATE 1-Fed adopts new 'stress capital buffer' for large U.S. banks,Mar 04 2020
3,"CANADA FX DEBT-Loonie weakens as BoC slashes rates, signals ready to do more",Mar 04 2020
4,US STOCKS-Wall Street surges on Biden bounce,Mar 04 2020
5,UPDATE 2-U.S. SEC provides 'conditional' disclosure relief for firms hit by coronavirus,Mar 04 2020
6,REFILE-TREASURIES-U.S. 10-year yield rises above 1% as stocks strengthen,Mar 04 2020
7,GLOBAL MARKETS-Stocks rally as Biden surge offsets coronavirus fears,Mar 04 2020
8,Fed adopts new 'stress capital buffer' for large U.S. banks,Mar 04 2020
9,UPDATE 1-U.S. corporate bonds gain as risk appetite returns,Mar 04 2020
0,CORRECTED-CANADA FX DEBT-Canadian dollar falls as BoC matches U.S. rate cut on coronavirus threat,Mar 04 2020
1,"US STOCKS SNAPSHOT-Dow, S&P 500 end more than 4% higher after Biden's Super Tuesday lead",Mar 04 2020
2,"UPDATE 1-Brazil real dives the most in 4 months, hits fresh low 4.58 per dollar",Mar 04 2020
3,UPDATE 4-Brazil 2020 economic outlook darkens after lowest GDP growth in three years,Mar 04 2020
4,YOUR MONEY-Fed's surprise cut is a cure for mortgage rate envy,Mar 04 2020
5,Emerson CEO sees China coronavirus situation stabilizing,Mar 04 2020
6,UPDATE 10-Oil gives up gains even as OPEC works on big output cut,Mar 04 2020
7,TREASURIES-U.S. 10-year yield stays below 1% as coronavirus fears persist,Mar 04 2020
8,GLOBAL MARKETS-Stocks rally as Biden surge offsets coronavirus fears,Mar 04 2020
9,Deals of the day-Mergers and acquisitions,Mar 04 2020
0,UPDATE 5-Coronavirus has spread to nearly all Iran provinces -president,Mar 04 2020
1,EMERGING MARKETS-Brazil's real touches new low as Fed rate cut spurs bets of more easing,Mar 04 2020
2,CORRECTED-Emergency coronavirus funding bill unveiled in U.S. Congress,Mar 04 2020
3,Brazil's Guedes expects economy to grow 2% or more this year,Mar 04 2020
4,WRAPUP 3-Data show U.S. economy on solid footing as coronavirus fears mount,Mar 04 2020
5,US STOCKS-Wall Street jumps as Biden takes the lead,Mar 04 2020
6,Bondholders meet with Argentina's economy minister as restructuring deadline looms,Mar 04 2020
7,US STOCKS-Wall Street surges after Biden cleans up on Super Tuesday,Mar 04 2020
8,Joe Biden's Super Tuesday success could help calm coronavirus-rocked market,Mar 04 2020
9,UPDATE 4-New BoE boss Bailey does not back immediate virus rate cut,Mar 04 2020
0,"U.S. businesses show growing concern over impact of coronavirus, Fed survey shows",Mar 04 2020
1,"RPT-UPDATE 3-GE says coronavirus will hit first-quarter cash flow, sticks to full-year forecast",Mar 04 2020
2,Brazil central bank to intervene in FX swaps market on Thursday,Mar 04 2020
3,Debt-laden Canadian province of Ontario to unveil budget March 25,Mar 04 2020
4,Next BoE boss Bailey suspicious about Facebook's Libra,Mar 04 2020
5,Countries should prepare in case coronavirus outbreak worsens - IMF,Mar 04 2020
6,METALS-Copper gains as Fed's rate cut gets positive response,Mar 04 2020
7,UPDATE 2-European shares up on defensive plays as stimulus hopes laced with caution,Mar 04 2020
8,"UPDATE 3-Bank of Canada takes cue from Fed and others, slashes rates over coronavirus fears",Mar 04 2020
9,US STOCKS-Wall St surges after Biden's surprise Super Tuesday lead,Mar 04 2020
0,UPDATE 3-Hopes of ECB easing action boost southern euro zone bonds,Mar 04 2020
1,U.S. corporate bonds gain as stocks rally,Mar 04 2020
2,U.S. equity funds suffer largest outflows since September on virus fears,Mar 04 2020
3,"S&P Global halves eurozone growth forecast, flags gloom for Italy",Mar 04 2020
4,GLOBAL MARKETS-Stocks rally as Biden surge offsets coronavirus fears,Mar 04 2020
5,HIGHLIGHTS-Next Bank of England governor Bailey speaks in parliament,Mar 04 2020
6,Next BoE boss Bailey wants clearer view on coronavirus hit before rate decision,Mar 04 2020
7,UPDATE 2-Spanish banks under pressure after WiZink credit card ruling,Mar 04 2020
8,"UPDATE 3-GE says coronavirus will hit first-quarter cash flow, sticks to full-year forecast",Mar 04 2020
9,FOREX-Dollar rebounds after Fed rate cut blow,Mar 04 2020
0,"UPDATE 3-Most Lebanese MPs oppose paying debt, even if it means default - Berri",Mar 04 2020
1,TREASURIES-U.S. 10-year yield hovers below 1% as coronavirus fears persist,Mar 04 2020
2,Sterling rallies against euro as rate cut talk swirls,Mar 04 2020
3,U.S. House could vote on coronavirus emergency bill later Wednesday -chairwoman,Mar 04 2020
4,CANADA STOCKS-Toronto stocks rise on commodity gains; BoC cuts interest rate,Mar 04 2020
5,US STOCKS-Wall St jumps after Biden's Super Tuesday surge,Mar 04 2020
6,India pushes state banks to boost lending as coronavirus fears grow - sources,Mar 04 2020
7,"Blackstone CEO says ""unclear"" if Fed rate cut can restore confidence",Mar 04 2020
8,Third person tests positive for new coronavirus in New York,Mar 04 2020
9,IMF chief says virus spread will hold 2020 global growth below last year,Mar 04 2020
0,US STOCKS SNAPSHOT-Wall Street jumps after Biden's Super Tuesday surge,Mar 04 2020
1,CANADA STOCKS-Toronto stocks open higher; BoC rate decision eyed,Mar 04 2020
2,UPDATE 1-Apple supplier Skyworks cuts forecasts on supply chain hit,Mar 04 2020
3,"Brazil's real hits new low 4.5242 per dollar, rate cut expectations mount",Mar 04 2020
4,Italy to ban public events to contain coronavirus - draft decree,Mar 04 2020
5,EMERGING MARKETS-Latam FX firm against recovering dollar,Mar 04 2020
6,Brazil Economy Ministry upbeat on private sector activity this year,Mar 04 2020
7,US STOCKS-Wall St futures jump after Biden's Super Tuesday surge,Mar 04 2020
8,"Citi cuts Brazil 2020 GDP forecast to 1.6%, lowers interest rate outlook",Mar 04 2020
9,CANADA FX DEBT-Canadian dollar gains ahead of BoC rate decision as oil prices rise,Mar 04 2020
0,"Poland's central bank keeps rates flat, as expected",Mar 04 2020
1,NY Fed accepts $100 bln in overnight repo bids -NY Fed website,Mar 04 2020
2,Apple supplier Skyworks sees no big production hit from coronavirus,Mar 04 2020
3,PRECIOUS-Gold steadies after previous day's rally on Fed cut,Mar 04 2020
4,US STOCKS-Futures jump after Biden's Super Tuesday sweep,Mar 04 2020
5,UPDATE 1-U.S. private payrolls increase solidly in February,Mar 04 2020
6,"UPDATE 1-Germany's Scholz ready for ""timely, targeted"" stimulus to counter coronavirus - sources",Mar 04 2020
7,"UPDATE 1-Bentley says Brexit priority is deal with Europe, not the U.S.",Mar 04 2020
8,"Baltic index at over 1-month high on firm panamax, supramax demand",Mar 04 2020
9,"Brazil govt to lower 2020 GDP growth forecast, but not below 2% - Economy Ministry's Sachsida",Mar 04 2020
0,"Italian govt to close schools, universities to contain coronavirus -Ansa",Mar 04 2020
1,EU executive starts disciplinary steps over Romania's budget gap,Mar 04 2020
2,MOVES-Goldman's Michelsen moves to Qatalyst Partners -source,Mar 04 2020
3,"UPDATE 2-GE sticks to 2020 targets, says coronavirus to hit cashflow by up to $500 mln",Mar 04 2020
4,Brazil services PMI slides to 8-month low in February - IHS Markit,Mar 04 2020
5,"Bond, credit trading volumes hit record in Feb - Tradeweb",Mar 04 2020
6,US STOCKS-Futures surge after Biden's resurgence in Democratic primaries,Mar 04 2020
7,German has fiscal means to counter coronavirus in case of economic crisis - sources,Mar 04 2020
8,"S.Arabia suspends Umrah pilgrimage for Saudi citizens, residents",Mar 04 2020
9,UPDATE 1-Germany bans export of medical protection gear due to coronavirus,Mar 04 2020
0,CANADA STOCKS-Futures rise on higher oil prices; BoC rate decision awaited,Mar 04 2020
1,"UPDATE 2-Eyeing access, Britain says it won't undercut EU financial rules",Mar 04 2020
2,UPDATE 1-Slovak election winner seeks quick deal on new government,Mar 04 2020
3,GLOBAL MARKETS-Bonds hold gains after Fed's surprise rate cut,Mar 04 2020
4,"Brazil GDP +0.5% in Q4, bringing total 2019 growth to 1.1% - IBGE",Mar 04 2020
5,RPT-Oil traders hit by unexpected slump in gasoil,Mar 04 2020
6,"Iran's first vice president has coronavirus, IranWire reports; no official confirmation",Mar 04 2020
7,GE sees coronavirus hit on first-quarter cash flow,Mar 04 2020
8,UPDATE 2-UK markets watchdog sets out operational rules for coronavirus outbreak,Mar 04 2020
9,Italy may close schools all over country due to coronavirus - govt source,Mar 04 2020
0,UK markets watchdog sets out operational rules for coronavirus outbreak,Mar 04 2020
1,Germany bans export of medical protection gear due to coronavirus,Mar 04 2020
2,Fed's economic survey set to offer more clues on coronavirus impact,Mar 04 2020
3,CORRECTED-Debt sales make a comeback after coronavirus shutdown,Mar 04 2020
4,"UPDATE 2-Bank of Japan's Kuroda offers bleak view on economy, warns of damage from coronavirus",Mar 04 2020
5,CORRECTED-Debt sales make a comeback after coronavirus shut-down,Mar 04 2020
6,Britain says no secret plan to diverge from EU financial rules,Mar 04 2020
7,UPDATE 2-Fed's Mester says coronavirus uncertainty could lead to demand shock - CNBC,Mar 04 2020
8,"CEE MARKETS-Forint leads gains, Polish central bank meeting in focus",Mar 04 2020
9,UPDATE 2-ECB holds emergency meeting on coronavirus but leaves out policy,Mar 04 2020
0,"TABLE -Toronto home prices jump by most in nearly three years, sales surge",Mar 04 2020
1,UPDATE 2-Dialog sees Chinese chip partners near full capacity by end-March,Mar 04 2020
2,"CORRECTED-TABLE-Holdings of SPDR Gold, iShares Silver drop (March 3)",Mar 04 2020
3,GLOBAL MARKETS-Bond yields near record lows after Fed rate cut,Mar 04 2020
4,UK Feb PMI points to best growth since Sept 2018 but coronavirus looms,Mar 04 2020
5,"Fed's Mester says market rout didn't force U.S. rate cut, but it was noted - CNBC",Mar 04 2020
6,MORNING BID-Rate cuts no panacea for virus damage,Mar 04 2020
7,"Sterling weakens, pressured by BoE rate cut talk",Mar 04 2020
8,Euro zone businesses stepped up pace in Feb but trouble brewing-PMI,Mar 04 2020
9,ECB held unscheduled meeting to discuss coronavirus: sources,Mar 04 2020
0,European shares inch higher as investors weigh stimulus measures,Mar 04 2020
1,Investor Stroll eyes sharing Formula One tech with Aston Martin road cars,Mar 04 2020
2,RPT-U.S. Fed's emergency cut unleashes euro bulls,Mar 04 2020
3,Euro zone bond yields hold near lows after extraordinary Fed move,Mar 04 2020
4,UPDATE 1-Singapore-based Quadria Capital raises $595 mln fund for healthcare-focused deals,Mar 04 2020
5,China says will not use property as short-term stimulus to jumpstart economy,Mar 04 2020
6,BOJ's Kuroda warns that hit to economy from virus could be big,Mar 04 2020
7,METALS-London copper climbs as dollar weakens after Fed rate cut,Mar 04 2020
8,"Japanese shares almost flat, Biden results lend some support",Mar 04 2020
9,"JGBs jump, short-term yields hit multi-month low after Fed rate cut",Mar 04 2020
0,GLOBAL MARKETS-Asian shares struggle despite Fed cut; resurgent Biden boosts U.S. futures,Mar 04 2020
1,FOREX-Dollar downbeat as Fed rate cut brings more worry than calm,Mar 04 2020
2,FOCUS-How an ill-timed bet on a U.S. oil refinery cost ICBCS millions,Mar 04 2020
3,Oil traders hit by unexpected slump in gasoil,Mar 04 2020
4,"In Brexit Britain, there may no longer be too many cooks in the kitchen",Mar 04 2020
5,GLOBAL MARKETS-Asian shares struggle for traction as Fed cut fails to boost confidence,Mar 03 2020
6,METALS-London copper rises as Fed cuts rates to counter coronavirus economic impact,Mar 03 2020
7,GRAPHIC-Resiliency test: How well can Chinese firms cope financially from a virus hit?,Mar 03 2020
8,"Morning News Call - India, March 4",Mar 03 2020
9,Japanese shares inch up as strong Biden results lift Wall Street futures,Mar 03 2020
0,Hong Kong stock exchange tells IPO hopefuls to detail impact of virus -sources,Mar 03 2020
1,"FOREX-Dollar on defensive as rate cut spooks markets, yields slide",Mar 03 2020
2,UPDATE 1-Fed's Evans expects virus impacts on economy to be short-lived,Mar 03 2020
3,E-commerce firm Peixe in talks to buy electric scooter startup Grow -sources,Mar 03 2020
4,Singapore-based Quadria Capital raises $595 mln fund for healthcare-focused deals,Mar 03 2020
5,UPDATE 3-Argentina to raise soybean export taxes to 33% from 30%,Mar 03 2020
6,China's services activity plunges as virus wipes sales - Caixin PMI,Mar 03 2020
7,PRESS DIGEST- British Business - March 4,Mar 03 2020
8,UPDATE 7-Coronavirus claims 3 more lives in Seattle-area as outbreak goes cross-country,Mar 03 2020
9,Taiwan's c.bank to stabilise forex market after Fed cuts rates,Mar 03 2020
0,GLOBAL MARKETS-Asian shares struggle for traction as Fed cut fails to lift confidence,Mar 03 2020
1,UPDATE 1-Hong Kong's central bank cuts interest rate after Fed move,Mar 03 2020
2,FOREX-Dollar left devastated by surprise Fed rate cut,Mar 03 2020
3,Japan services sector activity shrinks on coronavirus hit - PMI,Mar 03 2020
4,SoftBank CEO hosts 'pre-IPO summit' in New York as he courts investors,Mar 03 2020
5,UK launches large-scale public advice campaign on coronavirus,Mar 03 2020
6,GLOBAL MARKETS-Asian shares poised to slide as surprise Fed cut fails to halt rout,Mar 03 2020
7,CORRECTED-Facebook to revamp its digital currency plans- The Information,Mar 03 2020
8,Hong Kong's central bank cuts interest rate after Fed move,Mar 03 2020
9,WRAPUP 12-WHO warns of global shortage of medical equipment to fight coronavirus,Mar 03 2020
0,UPDATE 2-World Bank announces up to $12 bln in immediate funds for coronavirus,Mar 03 2020
1,Ackman hedges to protect against coronavirus' 'negative' impact,Mar 03 2020
2,US loans’ casualty list grows on coronavirus volatility,Mar 03 2020
3,"Berkshire Hathaway to hold May 2 annual meeting, despite coronavirus, but may curb events",Mar 03 2020
4,"UPDATE 5-Fed cuts rates to blunt coronavirus impact, markets drop",Mar 03 2020
5,UPDATE 4-U.S. lawmakers hit snag over vaccine costs in bill to battle coronavirus,Mar 03 2020
6,UPDATE 2-Fed's Mester sees possible economic impact from coronavirus outbreak,Mar 03 2020
7,"UPDATE 3-Coronavirus forces IMF, World Bank switch to virtual Spring Meetings",Mar 03 2020
8,UPDATE 1-Italy's Exor in MoU with France's Covea for sale of PartnerRe for $9 bln,Mar 03 2020
9,UPDATE 1-Brazil real slumps to new low as rate cut expectations surge,Mar 03 2020
0,"GLOBAL MARKETS-Stocks slide, 10-year Treasury at record low after Fed's rate cut",Mar 03 2020
1,Latest coronavirus news to drive next Fed decision -Mester,Mar 03 2020
2,US STOCKS-Another foul day on Wall Street after surprise Fed rate cut,Mar 03 2020
3,FOREX-Dollar dives after U.S. Federal Reserve cuts interest rates to battle coronavirus,Mar 03 2020
4,US STOCKS SNAPSHOT-Wall St ends more than 2% lower after Fed surprise rate cut,Mar 03 2020
5,"UPDATE 1-Brazil's 2020 GDP, rate outlook darkens dramatically on coronavirus",Mar 03 2020
6,Swiss National Bank mulls coronavirus response amid recession fears - Maechler,Mar 03 2020
7,World Bank announces up to $12 bln in immediate funds for coronavirus,Mar 03 2020
8,"Scared of Sanders presidency, Wall Street Dems double down on moderates",Mar 03 2020
9,Italy's Exor in MoU with France's Covea for sale of PartnerRe for $9 bln,Mar 03 2020
0,UPDATE 9-Oil lower on coronavirus fears despite Fed rate cut and hopes for OPEC+ output cut,Mar 03 2020
1,Lower middle market strategies flourish amid private credit boon,Mar 03 2020
2,"GLOBAL MARKETS-Stocks slide, 10-year Treasury yield hits record low after Fed's emergency rate cut",Mar 03 2020
3,Activist MG Capital calls for HC2 to investigate insurance deal,Mar 03 2020
4,TREASURIES-U.S. 10-year yields drop below 1% for first time ever,Mar 03 2020
5,Deals of the day-Mergers and acquisitions,Mar 03 2020
6,Brazilian real closes at record closing low 4.5109 per dollar,Mar 03 2020
7,CANADA FX DEBT-C$ weakens as investors bet on Bank of Canada matching Fed rate cut,Mar 03 2020
8,Coronavirus death toll in Washington state climbs to 9,Mar 03 2020
9,UPDATE 1-Investment grade and junk-bond ETFs diverge following Fed,Mar 03 2020
0,Coronavirus funding bill could be ready for Trump's signature by Friday -U.S. Senator,Mar 03 2020
1,"GLOBAL MARKETS-Gold jumps, stocks slide after Fed's rate cut",Mar 03 2020
2,US STOCKS-Wall Street tumbles after Fed surprise rate cut,Mar 03 2020
3,EMERGING MARKETS-Latam FX bounces after dollar falls on U.S. Fed's rate cut,Mar 03 2020
4,EXPLAINER-U.S. benchmark yield slides below 1%. What does it mean?,Mar 03 2020
5,"UPDATE 2-U.S. sues Mallinckrodt, accuses drugmaker of defrauding Medicaid",Mar 03 2020
6,PRECIOUS-Gold jumps over 3% after U.S. Fed's emergency rate cut,Mar 03 2020
7,UPDATE 2-Brazil meatpacker Prima Foods files for $220 mln IPO -sources,Mar 03 2020
8,TREASURIES-U.S. 10-year yields fall below 1% for first time ever,Mar 03 2020
9,UPDATE 2-U.S. Supreme Court leans toward SEC's power to recover ill-gotten gains,Mar 03 2020
0,UPDATE 2-Russia accuses BBC World News of flouting broadcasting rules,Mar 03 2020
1,UPDATE 2-Robinhood restores app services after suffering outage again,Mar 03 2020
2,Mexico's finance minister says in touch with central bank chief about coronavirus response,Mar 03 2020
3,Group forecasts international travel to U.S. will fall 6% in next three months,Mar 03 2020
4,UPDATE 2-German conservatives quarrel over stimulus package to counter coronavirus,Mar 03 2020
5,UPDATE 4-U.S. Supreme Court conservatives question consumer agency structure,Mar 03 2020
6,"GLOBAL MARKETS-Gold jumps, stocks trade erratically after Fed's rate cut",Mar 03 2020
7,UPDATE 2-Canada's GFL Environmental makes lackluster market debut,Mar 03 2020
8,UPDATE 1-Coronavirus fears could boost demand for Fed repo support,Mar 03 2020
9,U.S. Fed's emergency cut unleashes euro bulls,Mar 03 2020
0,UPDATE 1-Fidelity 2019 profit rose 10% on strong flows into index and money-market funds,Mar 03 2020
1,US STOCKS-Fed's emergency rate cut spooks Wall Street,Mar 03 2020
2,Big Sanders win could add risk to markets already hit by coronavirus,Mar 03 2020
3,"Goldman Sachs slashes Brazil, Mexico 2020 GDP forecasts",Mar 03 2020
4,Germany doing everything to shield economy from coronavirus impact - Altmaier,Mar 03 2020
5,"IMF, World Bank to hold virtual spring meetings due to coronavirus - joint statement",Mar 03 2020
6,UPDATE 1-UK 2-year gilt yield hits 2017 lows as Fed cut sparks talk of BoE move,Mar 03 2020
7,TREASURIES-U.S. 10-year yields tumble to record low after Fed's emergency cut,Mar 03 2020
8,Saudi central bank cuts key rates by 50 bps,Mar 03 2020
9,UPDATE 1-UK minister Patel calls for unity after top official resigns -internal email,Mar 03 2020
0,UPDATE 2-European shares rise as traders bet on more stimulus after Fed rate cut,Mar 03 2020
1,U.S. Supreme Court leans toward SEC's power to recover ill-gotten gains,Mar 03 2020
2,"IMF deal would spark ""popular revolution"" in Lebanon, Hezbollah believes",Mar 03 2020
3,UK minister Patel calls for unity after top official resigns - internal email,Mar 03 2020
4,EMERGING MARKETS-EM assets on firm footing after emergency U.S. Fed rate cut,Mar 03 2020
5,UPDATE 5-Thermo Fisher agrees to buy genetic tester Qiagen in $11.5 bln deal,Mar 03 2020
6,GFL Environmental shares drop in U.S. market debut,Mar 03 2020
7,Coronavirus more deadly than flu but containable - WHO's Tedros,Mar 03 2020
8,CANADA FX DEBT-Loonie falls as investors see Bank of Canada matching Fed rate cut,Mar 03 2020
9,UPDATE 3-Euro zone bond yields fall after Fed rate cut,Mar 03 2020
0,US STOCKS-Wall Street losses deepen after Fed emergency rate cut,Mar 03 2020
1,Banks in Sudan to introduce Visa payment systems,Mar 03 2020
2,"UK PM Johnson to discuss summit, strategy with climate change committee",Mar 03 2020
